contract_type,detail_url,job_type,location,salary,title
Contract,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst
Permanent,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Loughborough,Competitive salary,Risk Data Analyst
Permanent,/jobs/data-analyst/52243131?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,London,"£50,000 - £60,000 per annum",Data Analyst 
Permanent,/jobs/data-analyst-trainee/52007751?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Kingston Upon Thames, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52011370?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Mansfield, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51996453?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51997168?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Portsmouth, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51996667?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Aberdeen, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51996391?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Norwich, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51958460?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,West Hoe, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51958363?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51927454?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Bradford, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51951376?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Hounslow, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51941224?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51958296?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51919351?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Preston, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51911012?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Hull, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51890509?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51890362?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,North London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51870409?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,Coventry, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51879883?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51879318?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,full-time,London, Training Course,Data Analyst Trainee
